varid,varname_data,varname_english,data_source,varname_code,var_in_script
1,scount,National reference lab isolate ID,NRZ,isolate_nrzid,TRUE
2,einsendendes_labor,Submitting laboratory name,NRZ,isolate_submitlab,FALSE
3,bundesland,Isolate origin - federal state,NRZ,isolate_fedstate,TRUE
4,landkreis,Isolate origin - county,NRZ,isolate_county,TRUE
5,pat_geb_jahr,Lab form case birth year,NRZ,isolate_birthyear,TRUE
6,pat_geb_monat,Lab form case birth month,NRZ,isolate_birthmonth,TRUE
7,serovar,Serovar as determined by ref lab,NRZ,isolate_serovar,TRUE
8,edatum,Isolate receipt date,NRZ,isolate_receiptdate,TRUE
9,einsender_datum,Isolate submission date,NRZ,isolate_submitdate,TRUE
10,einsender_nr,Submitting lab isolate ID,NRZ,isolate_submitlabid,FALSE
11,geschlecht,Lab form case sex,NRZ,isolate_sex,TRUE
12,plz_wohnort,Lab form case residence,NRZ,isolate_residence,FALSE
13,antibiotikaresistenzprofil_kurz,Antibiotic resistance profile,NRZ,isolate_amrprofile,FALSE
14,probe_bemerkungen,Isolate remarks from ref lab,NRZ,isolate_remarks,FALSE
15,ngs_stand,NGS status,NRZ,isolate_ngsstatus,TRUE
16,ngs_cluster,NGS cluster ID,NRZ,isolate_ngsclusterid,TRUE
17,hub0,Hub 0,NRZ,isolate_hub0,FALSE
18,hub1,Hub 1,NRZ,isolate_hub1,FALSE
19,hub2,Hub 2,NRZ,isolate_hub2,FALSE
20,hub3,Hub 3,NRZ,isolate_hub3,FALSE
21,interne_ref,Survnet case ID,Survnet,case_survnetid,TRUE
22,aktenzeichen,Survnet file number,Survnet,case_fileid,FALSE
23,melde_landkreis_bundesland,Survnet reporting state,Survnet,case_reportfedstate,TRUE
24,melde_landkreis,Survnet reporting county,Survnet,case_reportcounty,TRUE
25,meldedatum_wochenjahr,Survnet notification year,Survnet,case_reportyear,FALSE
26,meldedatum_woche,Survnet notification week,Survnet,case_reportweek,FALSE
27,meldedatum,Survnet notification date,Survnet,case_reportdate,TRUE
28,serovar_surv_net,Survnet serovar,Survnet,case_serovar,FALSE
29,geburts_jahr_monat_kalenderjahr,Survnet case birth year,Survnet,case_birthyear,FALSE
30,geburts_jahr_monat_monat,Survnet case birth month,Survnet,case_birthmonth,FALSE
31,alter_berechnet,Survnet calculated case age,Survnet,case_calculatedage,TRUE
